123456789;31-01-2021 16:16:09;0
123456789;31-01-2021 16:16:59;1
123456789;31-01-2021 16:18:47;0
123456789;31-01-2021 16:19:34;0
123456789;31-01-2021 17:51:30;1
123456789;31-01-2021 17:52:14;1
123456789;31-01-2021 17:54:16;1
123456789;31-01-2021 18:26:38;1
123456789;31-01-2021 18:27:37;1
12345678910;31-01-2021 18:30:16;1
12345678910;31-01-2021 18:31:37;1
12345678910;31-01-2021 18:32:55;1
123456789;31-01-2021 18:33:59;0
12345678910;31-01-2021 18:34:13;1
123456789;31-01-2021 18:35:19;0
12345678910;31-01-2021 18:35:33;1
12345678910;31-01-2021 18:36:23;1
123456789;31-01-2021 18:42:27;0
12345678910;31-01-2021 18:42:39;1
12345678910;31-01-2021 19:07:46;1
12345678910;31-01-2021 19:08:33;1
12345678910;31-01-2021 19:09:23;1
12345678910;31-01-2021 19:10:36;1
12345678910;31-01-2021 19:14:52;1
12345678910;31-01-2021 19:24:33;1
